counter,paper_id,Author,Journal,Inependent_Variable,Region,Country,Unit_of_analysis,Sample_size,Time_span,pop_density,Scopus_keywords,Def_pop_dens,Method,Countries,small_large
59,189,Mario Coccia (2021),Environmental Science and Pollution Research,Confirmed COVID-19 cases,Europe,Italy,Cases,NA,March 17 - 17 April 2020,Positive,Air Pollutants; Air Pollution; Cities; COVID-19; Deja Vu; Humans; Italy; Pandemics; Particulate Matter; Public Health; SARS-CoV-2; Density of population; Italy,People per square kilometer of land area,OLS,Italy,Others
60,191,Sarkar et al.(2021),Spatial Information Research,Confirmed COVID-19 cases,Asia,Bangladesh,Districts,64,"March 8 - June 11, 2020",Positive,Demography; GIS; Novel coronavirus; Pandemic; South-East Asia,People per square kilometer of land area,Spatial regression,Bangladesh,Small Geographical Areas
62,194,Mansour et al. (2021),Sustainable Cities and Society,Confirmed COVID-19 cases,Middle East,Oman,Provinces,72,"February 24-July 4, 2020",Negative,COVID-19; Geospatial modeling; GIS; GWR; MGWR; Oman; Sociodemographic determinants;  Hospital beds; Hospitals; Population distribution; Population dynamics; Population statistics; Regression analysis; Transmissions; Population densities; Spatial informations; Spatial transmission; Spatially non stationaries,People per square kilometer of land area,Spatial regression,Oman,Large Geographical Areas
63,195,Jung et al. (2021),Journal of Economic Behavior and Organization,Active infected cases,North America,United States,Counties,3092,"January 22- April 28, 2020",Positive,Coronavirus; COVID-19; Death rates by poverty status; Heterogeneous health effects; Infections by poverty status; Pandemic; SARS-CoV-2,People per square kilometer of land area,Spatial regression,United States,Small Geographical Areas
64,196,Onur Baser (2021),Health Policy,Confirmed COVID-19 cases,Middle East,Turkey,Cities,81,"March 25 - August 30, 2020",Positive,"Covid-19; Disease spread; Flattening the curve; Health care; Population density;     Adult; Age Factors; Aged; Basic Reproduction Number; Cities; Communicable Disease Control; COVID-19; Female; Humans; Male; Middle Aged; Models, Statistical; Population Density; SARS-CoV-2; Turkey",Population weighted density (mean of the subareas densities weighted by the population of the subareas),OLS,Turkey,Small Geographical Areas
65,197,Liao et al. (2021),JAMA Network Open,Confirmed COVID-19 cases,North America,United States,Counties,3142,"January 22 -August 8, 2020",Positive,COVID-19; Cross-Sectional Studies; Epidemiological Monitoring; Ethnic Groups; Health Services Accessibility; Health Status Disparities; Humans; Incidence; United States,People per square kilometer of land area,Negative Binomial,United States,Small Geographical Areas
66,203,Kulu et al. (2021),Health and Place,Confirmed COVID-19 cases,Europe,United Kingdom,Districts,365,"January 23 -  July 3, 2020",Positive,"Covid-19; Infection rates; Infectious diseases; Mortality; Spatial analysis; Statistical modelling; COVID-19; Geography; Humans; Models, Statistical; Mortality; Population Density; Socioeconomic Factors; Spatial Analysis; United Kingdom; disease spread; infectivity; mortality; socioeconomic conditions; spatial analysis; statistical analysis; urban area; viral disease",People per square kilometer of land area,Spatial regression,United Kingdom,Small Geographical Areas
67,205,Vaz (2021),Sustainability,Confirmed COVID-19 cases,North America,Canada,Cases,2346,"January 23 - April 8, 2020",Positive,COVID-19; Spatial analysis; Toronto; Canada; Ontario; disease control; disease incidence; disease spread; exploration; GIS; global perspective; knowledge; spatial analysis; strategic approach; virus,People per square kilometer of land area,Spatial regression,Canada,Others
68,206,Velasco et al. (2021),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,World,World,Countries,141,"January 22 - December 10, 2020",No association,Cases; COVID-19; Deaths; Populations; Temperature; Tests; Global Health; Humans; Pandemics; Population Density; China; Hubei; Wuhan; least squares method; temperature effect; mortality,People per square kilometer of land area,OLS,NA,Large Geographical Areas
69,207,Ossimetha et al. (2021),Mayo Clin Proceedings,Confirmed COVID-19 cases,North America,United States,Counties,2664,"April 1 - May 15, 2020",Positive,"COVID-19; Female; Humans; Male; Pandemics; Pneumonia, Viral; SARS-CoV-2; Social Conditions; Social Control, Formal; Socioeconomic Factors; United States",People per square mile of land area,OLS,United States,Small Geographical Areas
70,208,Hassan et al. (2021),Environmental Monitoring and Assessment,Confirmed COVID-19 cases,Asia,Bangladesh,Zip codes,86,"as May 23, 2020",Positive,Bangladesh; COVID-19; Dhaka; Geographically Weighted Regression (GWR); GIS; Air Pollutants; Air Pollution; Cities; Environmental Monitoring; Humans; Particulate Matter; atmospheric pollution; COVID-19; disease control; disease incidence; disease spread; disease transmission; GIS; infectivity; urban area; viral disease; Population statistics; Structural dynamics; Water pollution; Wind effects,People per square kilometer of land area,Spatial regression,Bangladesh,Small Geographical Areas
71,212,Cartenì et alt. (2021),Safety Science,Confirmed COVID-19 cases,Europe,Italy,Provinces,105,"February 21 - May 5, 2020",Positive,Accessibility; Covid-19; Mobility; Pandemic; Safety; SARS-CoV-2; Transportation; Decision making; Linear regression; Context variables; Estimation results; Geographical area; Mobility restrictions; Multiple linear regression models; Quantitative estimates; Social interactions; Sustainable policies,People per square kilometer of land area,OLS,Italy,Large Geographical Areas
72,213,Chen et al. (2021),Journal of Public Health Management and Practice,Confirmed COVID-19 cases,North America,United States,Zip codes,461,"March 1 - May 5, 2020",Positive,COVID-19; health disparities; public health surveillance; socioeconomic inequities; state health departments; Cost of Illness; COVID-19; Cross-Sectional Studies; Ethnic Groups; Humans; Illinois; Income; Local Government; New York City; Pandemics; Race Factors; Residence Characteristics; Socioeconomic Factors; United States,Percent household crowding (Number of overcrowded households/Total number of households),Poisson,United States,Small Geographical Areas
73,215,Kan et al. (2021),Science of the Total Environment,Confirmed COVID-19 cases,Asia,Hong Kong,Cases,1013,"January 23 - April 14, 2020",No association,Built environment; COVID-19; Hong Kong; Infectious disease; Transmission risk; China; Hong Kong; Economics; Land use; Population statistics; Risk assessment; Tall buildings; accessibility; demography; disease transmission; health risk; infectious disease; multistorey building; spatiotemporal analysis,People per square kilometer of land area,Cluster analysis,Hong Kong,Others
74,216,Moonsammy et al. (2021),Spatial and Spatio-temporal Epidemiology,Confirmed COVID-19 cases,World,Caribbean,Cases,NA,"February 14 - November 30, 2020",No association,Caribbean; COVID-19 cases; COVID-19 deaths; Spatial variation; Socioeconomic Factors; Spatial Analysis,People per square kilometer of land area,Spatial regression,Caribbean,Others
75,217,Diao et al. (2021),One Health,Confirmed COVID-19 cases,World,World,Regions,68,"February 1 - May 27, 2020",Positive,Absolute humidity; COVID-19; Multivariable analysis; Population density; Temperature; China; Germany; Japan; social distancing,People per square kilometer of land area,OLS,"China, England, Germany, Japan",Large Geographical Areas
76,218,Sung (2021),Preventive Medicine,Confirmed COVID-19 cases,North America,United States,Counties,3136,"January 20 - October 20, 2020",Positive,COVID-19; Neighborhood contexts; Spatial analysis; counties; United States; African Americans; Continental Population Groups; COVID-19; Cross-Sectional Studies; Female; Health Status Disparities; Humans; Local Government; Male; Residence Characteristics; SARS-CoV-2; Spatial Analysis,Population,Spatial regression,United States,Small Geographical Areas
77,219,Viezzer et al. (2021),Sustainable Cities and Society,Confirmed COVID-19 cases,South America,Brazil,Municipalities,3052,"February 25 - August 9, 2020",Positive,COVID-19; incidence; Ecosystem; services;Urban forest; Vegetation cover; Nature's contribution to people; GREEN SPACE; HEALTH-BENEFITS; TREE CANOPY; NATURAL-ENVIRONMENT; AIR QUALITY; IMPACT; EXPOSURE; INEQUALITIES; ASSOCIATION; CHILDREN,People per square kilometer of land area,Correlation analysis,Brazil,Small Geographical Areas
78,220,Jones (2021),The Social Science Journal,Confirmed COVID-19 cases,North America,United States,Counties,254,"March 6 -September 1, 2020",Positive,Covid-19; residual analysis; spatial diffusion; temporal gravity model; Texas,People per square mile of land area,Correlation analysis,United States,Small Geographical Areas
79,222,Liu et al. (2021),International Journal of Geo-Information,Confirmed COVID-19 cases,North America,United States,States,49,"January 22- August 20, 2020",Positive,COVID-19; K-means clustering; Moran’s I index; SIR; Spatial lag model; Spatiotemporal interaction effects,People per square mile of land area,Spatial regression,United States,Large Geographical Areas
80,224,Zhang et al. (2021),BMC Infectious Diseases,Confirmed COVID-19 cases,Asia,China,Cities,342,"January 19 - March 25, 2020",Positive,China; Cities; COVID-19; Humans; Incidence; Linear Models; Population Density; Socioeconomic Factors; Spatial Regression,People per square kilometer of land area,Spatial regression,China,Small Geographical Areas
81,225,Pandey et al. (2021),Journal of Social and Economic Development,Confirmed COVID-19 cases,Asia,India,Districts,318,"January 30 - November 1, 2020",Positive,COVID-19;  Social determinants; Health infrastructure; Location quotient,People per square kilometer of land area,Cluster analysis,India,Small Geographical Areas
82,227,Banski et al. (2021),International Journal of Environmental Research and Public Health,Confirmed COVID-19 mobidity,World,World,Countries,102,"January 22 -  November 18, 2020",No association,Correlation; Country classifica-tion; COVID pandemic; Geography of disease; Socio-economic conditioning; Latin America; morbidity; mortality; pandemic; socioeconomic conditions; spatial analysis,People per square kilometer of land area,Correlation analysis,"Japan, Finland, Greece, Germany, New Zealand, Cuba, Uruguay, Russia, South Korea, Thailand, Kazakhstan, Saudi Arabia, Togo, Brazil, Colombia, Tunisia, Peru, Mexico, Bolivia, Ecuador, Guatemala, Italy, Spain, Belgium, North
Macedonia, Chile, El Salvador, Iran, Indonesia, South Africa, Zimbabwe, Malawi,  United Kingdom, Canada, Australia, Ireland, China, Turkey, Vietnam, Fiji, Trinidad and Tobago, Panama, Dominican Republic, Paraguay, Myanmar, Madagascar, Portugal, Bulgaria, Czechia, Netherlands, Hungary, Romania, Poland, Ukraine, United States, Jamaica, Morocco, India, Bangladesh, Philippines, Pakistan, Ethiopia, Iraq, Mauritania, Senegal, Nigeria, Kenya, Zambia, Malta, Latvia, Denmark, Lithuania, Estonia, Norway, Belarus, Iceland, Luxembourg, Cyprus, Singapore, Sri Lanka, Malaysia, Rwanda, Bahrain, Uganda, United Arab Emirates,Costa Rica, Croatia, Serbia, Slovenia, Austria, Switzerland, Slovakia, Israel, Nepal, Jordan, Maldives, Namibia, Ghana, Mozambique, Ivory Coast, Kuwait, Qatar",Large Geographical Areas
83,230,Choi et al. (2021),Canadian Review of Sociology,Confirmed COVID-19 cases,North America,Canada,Regions,89,"January 21, 2020 -January 24, 2021",Positive,African Continental Ancestry Group; Canada; COVID-19; Ethnic Groups; Humans; SARS-CoV-2; Social Determinants of Health;,People per square kilometer of land area,Poisson,Canada,Large Geographical Areas
84,233,Nguyen et al. (2021),Journal of Public Health Management and Practice,Confirmed COVID-19 cases,North America,United States,Counties,159,"March 2 - September 30, 2020",No association,"COVID-19; health disparities; health inequities; hospitalization; mortality; Adult; Aged; Aged, 80 and over; Cause of Death; Female; Georgia; Humans; Male; Middle Aged; Pandemics; Rural Population; SARS-CoV-2; Socioeconomic Factors; Treatment Outcome; Vulnerable Populations",People per square mile of land area,OLS,United States,Small Geographical Areas
85,234,Zheng et al. (2021),Environmental Pollution,Confirmed COVID-19 cases,Asia,China,Cities,324,"December 31, 2019 - March 6, 2020",Positive,Air pollution; Chronic exposure; Coronavirus disease 2019; COVID-19; China; Air Pollutants; Air Pollution; Environmental Exposure; Epidemics; Humans; Particulate Matter; atmospheric pollution; cardiovascular disease; confidence interval;  disease spread; epidemic; health risk; hypertension; pollution effect; pollution exposure; smoking; vulnerability,People per square kilometer of land area,Poisson,China,Small Geographical Areas
86,235,Sharif et al.(2021),Epidemiology and Infection,Confirmed COVID-19 cases,Asia,Japan,Regions,8,"January 16, 2020 - February 15, 2021",Positive,"Cluster mutations; COVID-19; Japan; Population density; Variants; Weather; DNA Mutational Analysis; Genome, Viral; Humans; Japan; Mutation; Population Density; SARS-CoV-2; Spatial Analysis; Time Factors; Weather",People per square kilometer of land area,Correlation analysis,Japan,Large Geographical Areas
87,236,Liu et al. (2021),Journal of the Royal Society Interface,Confirmed COVID-19 cases,North America,Canada,Regions,2,"March 3 - December 3, 2020",Positive,British Columbia; COVID-19; household size; infectious disease; Communicable Disease Control; COVID-19; Humans; Incidence; Physical Distancing; SARS-CoV-2; Dynamics; Size distribution; Stochastic models; Stochastic systems; Viruses; Discrete time; Epidemiological modeling; Health regions; Non-pharmaceutical interventions; Transmission dynamics,Household size (people per dwelling),Survival analysis regression,Canada,Large Geographical Areas
88,239,Sy et al. (2021),PLOS One,Confirmed COVID-19 cases,North America,United States,Counties,3221,"March 25 - April 9, 2020",Positive,"Basic Reproduction Number; COVID-19; Cross-Sectional Studies; Humans; Models, Statistical; Pandemics; Population Density; SARS-CoV-2; United States",People per square kilometer of land area,OLS,United States,Small Geographical Areas
89,242,Wu and Zhang (2021),Environmental Science and Pollution Research,Confirmed COVID-19 cases,North America,United States,Counties,254,"January 20 - December 31, 2020",Positive,COVID-19 cumulative case; Geographically weighted regression (GWR); Spatial-temporal varying impacts; Texas; United States; age; disease control; disease spread; principal component analysis; regression analysis; virus; COVID-19,People per square mile of land area,Correlation analysis,United States,Small Geographical Areas
90,246,Mogi and Spijker (2021),Journal of Population Research,Confirmed COVID-19 cases,World,Europe,Countries,23,"March 1 - April 30, 2020",Positive,Coronavirus; COVID-19; Economic development; Health policy; Nursing homes; Social ties,People per square kilometer of land area,Correlation analysis,"Austria, Belgium, Bulgaria, Czechia, Denmark, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",Large Geographical Areas
91,247,Nath et al. (2021),Advancing Earth and Space Science,Confirmed COVID-19 cases,Asia,India,Electoral subdivisions,141,"March 17 - June 30,2020",Positive,COVID-19; Kolkata; risk analysis; social awareness; social distancing,People per square kilometer of land area,Correlation analysis,India,Small Geographical Areas
92,248,Li et al. (2021),Sustainable Cities and Society,Confirmed COVID-19 cases,Asia,China,Cities,368,"January 20 - February 3, 2020",No association,China; COVID-19; Initial stages of pandemic; Mixed GWR; Spatial heterogeneity; The built environment; Population statistics; Regression analysis; Activity centers; Aging population; Built environment; Geographically weighted regression models; Point of interest; Population densities; Public transport; Spatial heterogeneity,Population density of built-up areas,OLS,China,Small Geographical Areas
93,251,Gaudart et al. (2021),Lancet Public Health,Confirmed COVID-19 cases,Europe,France,Administrative departments,96,"March 19 - May 11, 2020",Positive,"Adult; Aged; Aged, 80 and over; COVID-19; Epidemiologic Studies; Female; France; Geography, Medical; Hospital Mortality; Humans; Incidence; Male; Middle Aged; Risk Factors; Spatial Analysis",NA,Spatial regression,France,Small Geographical Areas
94,256,Neelon et al. (2021),PLOS One,Confirmed COVID-19 cases,North America,United States,Counties,3142,"March 15 - December 31, 2020",Positive,"Bayes Theorem; COVID-19; Databases, Factual; Female; Health Status Disparities; Humans; Incidence; Longitudinal Studies; Male; Pandemics; SARS-CoV-2; Socioeconomic Factors; United States; Vulnerable Populations",People per square mile of land area,Bayesian regression ,United States,Small Geographical Areas
95,257,Sarria-Guzmán et al. (2021),PeerJ,Confirmed COVID-19 cases,North America,Mexico,Municipalities,2455,"February 29 - December 18, 2020",Positive,COVID-19 pandemic; H1N1 Influenza pandemic; Mexico; Population density; Population size; risk factor; mortality rate,People per square kilometer of land area,Correlation analysis,Mexico,Small Geographical Areas
96,258,Jalilian and Mateu (2021),Stochastic Environmental Research and Risk Assessment,Confirmed COVID-19 cases,World,Europe,"Regions Spain, Italy and Germany",54,"February 1 - January 31, 2020",Positive,Autoregressive model; Besag model; COVID-19; Disease mapping; Spatio-temporal prediction; Germany; Italy; Spain; Hierarchical bayesian; Public health policies; Relative risks; Spatio temporal; Spatio-temporal models; Temporal and spatial dynamics; Temporal and spatial variation; Temporal trends,People per square kilometer of land area,Spatial regression,"Spain, Italy, Germany",Large Geographical Areas
97,260,Hu et al. (2021),BMC Public Health,Confirmed COVID-19 cases,Asia,China,Provinces,31,"December 31, 2019 - May 2, 2020",No association,"COVID-19; Epidemic prevention and control; Population migration; Wuhan;  China; Communicable Diseases, Imported; Epidemics; Humans; Models, Theoretical; Population Health; SARS-CoV-2",People per square kilometer of land area,OLS,China,Large Geographical Areas
98,261,Sartorius et al. (2021),Scientific Reports,Confirmed COVID-19 cases,Europe,United Kingdom,Middle Layer Super Output Area,6791,"February 5 - October 25, 2020",Positive,"Bayes Theorem; COVID-19; Disease Susceptibility; England; Geography; Humans; Models, Biological; Multivariate Analysis; Risk Factors; SARS-CoV-2; Spatio-Temporal Analysis; Time Factors",People per square kilometer of land area,Bayesian regression ,United Kingdom,Small Geographical Areas
99,263,Alam (2021),Asia Pacific Journal of Public Health,Confirmed COVID-19 cases,Asia,Bangladesh,Districts,64,"March 11 - September 23, 2020",Positive,Bangladesh; COVID-19; population density; population density and COVID-19; urbanization and COVID-19,People per square kilometer of land area,Correlation analysis,Bangladesh,Small Geographical Areas
100,266,Consolazino et al. (2021),International Journal of Health Services,Confirmed COVID-19 cases,Europe,Italy,Provinces,32588,"February 20 - May 3, 2020",No association,COVID-19; health inequalities; SARS-CoV-2; social epidemiology; social inequalities; Adult; Age Distribution; Aged; Comorbidity; Female; Health Status Disparities; Housing; Humans; Italy; Logistic Models; Male; Middle Aged; Pandemics; Population Density; Residence Characteristics; SARS-CoV-2; Sex Distribution; Social Class; Socioeconomic Factors; Italy; Lodi; Lombardy; Lombardy; Milan; assessment method; socioeconomic conditions; spatiotemporal analysis,People per square kilometer of land area,Logistic,Italy,Large Geographical Areas
101,267,Dintrans et al. (2021),PLOS One,Confirmed COVID-19 cases,South America,Chile,Municipalities,52,"March 1 - July 31, 2020",Positive,"Aged; Aged, 80 and over; Child; Chile; COVID-19; Female; Humans; Incidence; Male; Poverty; Risk Factors; SARS-CoV-2; Social Determinants of Health; Socioeconomic Factors; Urban Population",People per square kilometer of land area,OLS,Chile,Small Geographical Areas
102,268,Steiger et al. (2021),PLOS One,Confirmed COVID-19 cases,Europe,Germany,Districts,401,"February 15 - July 8, 2020",Positive,"COVID-19; Female; Germany; Humans; Male; Models, Biological; Pandemics; SARS-CoV-2",People per square kilometer of land area,Negative Binomial,Germany,Small Geographical Areas
103,269,Teh et al. (2021),PLOS One,Confirmed COVID-19 cases,World,World,Countries,161,"December 29, 2019 - March 27, 2020",No association,Africa; COVID-19; Europe; Global Health; Humans; Pandemics; SARS-CoV-2; United States,People per square kilometer of land area,Correlation analysis,"Afghanistan, Angola, Albania, Andorra, United Arab Emirates, Argentina, Australia, Austria, Azerbaijan, Burundi, Belgium, Benin, Burkina Faso, Bangladesh, Bulgaria, Bahrain, Bosnia and Herzegovina, Belarus, Belize, Bolivia, Brazil, Barbados, Brunei, Bhutan, Botswana, Central African Republic, Canada, Switzerland, Chile, China, Ivory Coast, Cameroon, Democratic Republic of the Congo, Republic of the Congo, Colombia, Cabo Verde, Costa Rica, Cyprus, Czechia, Germany, Djibouti, Dominica, Denmark, Dominican Republic, Algeria, Ecuador, Egypt, Eritrea, Spain, Estonia, Ethiopia, Finland, Fiji, France, Gabon, United Kingdom, Georgia, Ghana, Guinea, Gambia, Greece, Guatemala, Guyana, Hong Kong, Honduras, Croatia, Haiti, Hungary, Indonesia, India, Ireland, Iran, Iraq, Iceland, Israel, Italy, Jamaica, Jordan, Japan, Kazakhstan, Kenya, Kyrgyzstan, Cambodia, Korea, South, Kuwait, Laos, Lebanon, Liberia, Libya, Sri Lanka, Lithuania, Luxembourg, Latvia, Macau, Morocco, Moldova, Madagascar, Mexico, Mali, Burma, Mongolia, Mozambique, Mauritania, Mauritius, Malawi, Malaysia, Namibia, Niger, Nigeria, Nicaragua, Netherlands, Norway, Nepal, New Zealand, Oman, Pakistan, Panama, Peru, Philippines, Poland, Portugal, Paraguay, Qatar, Romania, Russia, Rwanda, Saudi Arabia, Sudan, Senegal, Singapore, Sierra Leone, El Salvador, San Marino, Serbia, South Sudan, Suriname, Slovakia, Slovenia, Sweden, Eswatini, Seychelles, Syria, Chad, Togo, Tajikistan, Timor-Leste, Trinidad and Tobago, Tunisia, Turkey, Taiwan, Tanzania, Uganda, Ukraine, Uruguay, United States, Uzbekistan, Venezuela, Vietnam, South Africa, Zambia, Zimbabwe",Large Geographical Areas
104,273,Rontos et al. (2021),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,World,World,Countries,137,"January 1 - April 30, 2020",Positive,COVID-19; Government Programs; Humans; Pandemics; SARS-CoV-2; Socioeconomic Factors; future prospect; health care; health policy; health services; PANDEMIC; public health; risk factor; socioeconomic status; aged; demography,People per square kilometer of land area,OLS,NA,Large Geographical Areas
105,274,Madden et al. (2021),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,Europe,United Kingdom,Cases,3409,"February 22 - March 1, 2020",Positive,COVID-19; Disease mapping; Spatial statistics; Spatio-temporal; Standardised incidence ratio; Bayes Theorem; Communicable Disease Control; COVID-19; Humans; Ireland; SARS-CoV-2; Ireland; disease incidence; disease transmission; GIS; mapping method; mobile phone; mobility; population density; spatiotemporal analysis; trend analysis,People per square kilometer of land area,Spatial regression,United Kingdom,Others
106,275,Marvi et al. (2021),Sustainability,Confirmed COVID-19 cases,World,World,Cases,10122,"January 15 - March 25, 2020",No association,COVID-19; Data analytics; Global; Local; Meteorological parameters; Pandemic; Spread rate; Statistical analysis; Bahrain; India; Pakistan; Qatar; Singapore; Southeast Asia; Thailand; isease spread; health impact; population outbreak; temperature effect; weather,People per square kilometer of land area,OLS,"Finland, Russia, Canada, Sweden, United Kingdom, Ecuador, Germany, Switzerland, New Zealand, Netherlands, Austria, Australia, France, China, South Korea, South Africa, Argentina, Chile, Turkey, United States, Japan, Spain, Mexico, Italy, Pakistan, Iran, Brazil, India, Singapore, Thailand, Malaysia, Indoenesia, Bahrain, Qatar",Others
107,276,Iqbal et al. (2021),Process Safety and Environmental Protection,Confirmed COVID-19 cases,Asia,China,Provinces,29,"January 24 - November, 2020",Positive,Air pollution; COVID-19; Negative binomial regression; NO2; O3; PM10; PM2.5; SO2; Nitrogen oxides; Population statistics; Regression analysis; Air pollutants; Coronaviruses; Global scale; Negative binomial regression; Nitrogen dioxides; Number of peoples; Population densities; Public database,People per square mile of land area,Negative Binomial,China,Large Geographical Areas
108,280,"Smith, et al. (2021)",Proceedings of the National Academy of Sciences,Confirmed COVID-19 cases,North America,United States,States,37,"March 13 - March 27, 2020",Positive,climate; epidemiology; SARS-CoV-2; seasonality; transmission; Basic Reproduction Number; Cold Temperature; Communicable Disease Control; COVID-19; Forecasting; Humans; Movement; Population Density; SARS-CoV-2; Seasons; United States,People per square kilometer of land area,OLS,United States,Large Geographical Areas
109,281,Olmo and Sanso-Navarro (2021),Papers in Regional Science,Confirmed COVID-19 cases,North America,United States,Zip codes,2150,"January 12 - December 29, 2020",Positive,Bayesian model averaging; COVID-19; Poisson regression; prediction models; spatial effects; New York; United States; Bayesian analysis; disease spread; modeling; prediction; regression analysis; spatial analysis,Average number of people per household,Poisson,United States,Small Geographical Areas
110,282,Phiri et al. (2021),Scientific African,Confirmed COVID-19 cases,Africa,Zambia,Districts,117,"March 18 - July 17, 2020",Positive,Africa; Classification Tree; COVID-19; GIS; HIV/AIDS; Zambia,People per square kilometer of land area,Classification Algorithm,Zambia,Small Geographical Areas
111,284,Yang et al. (2021),Iran Journal of Public Health,Confirmed COVID-19 cases,Asia,China,Provinces,30,"January 2 - February 25, 2020",Positive,Socio-economic; COVID-19; Epidemic; Spread; Outbreak: China,People per square kilometer of land area,OLS,China,Large Geographical Areas
112,286,Ye and  Qiu (2021),Urban Forestry & Urban Greening,Confirmed COVID-19 cases,Asia,China,Sub-districts,161,"January 23 - April 8, 2020",Positive,COVID-19; Infection risk; Landscape epidemiology; Landscape metrics; Landscape pattern; Wuhan; China; pidemiology; greenspace; infectious disease; land cover; land use change; landscape change; regression analysis; risk assessment; urban area,People per square kilometer of land area,Spatial regression,China,Small Geographical Areas
113,287,Khavarian-Garmsir et al. (2021),Sustainable Cities and Society,Confirmed COVID-19 cases,Middle East,Iran,Municipalities,22,"April 4 - June 27, 2020",Negative,Compact city; COVID-19; Density; Risk factors; Tehran; Climate change; Geographical distribution; Case-studies; Density; Epicentre; Online platforms; Risk factors; Structural equation models; Tehran; Urban development,People per square kilometer of land area,Structural Equation,Iran,Small Geographical Areas
114,288,Chen et al. (2021),Sustainable Cities and Society,Confirmed COVID-19 cases,Asia,China,Prefecture,120,"December 31, 2019 - March 19, 2020",Positive,COVID-19; Population density; Public health; Urban governance; Urban resilience; Agglomeration; Health care; Population distribution; Population dynamics; Public health; Viruses; Affecting factors; City sizes; Epicentre; Healthcare resources; Population densities; Urban governance; Urban population; Urban resilience; Virus population,"10,000 people per square kilometer of land area",OLS,China,Small Geographical Areas
115,289,"Birenbaum-Carmeli, D. & Chassida, J. (2021).",International Journal for Equity in Health,Confirmed COVID-19 cases,Middle East,Israel,communitis,111,"June 3 - September 13, 2020",Positive,"Arab; Elderly population; Israel; Jewish; Minority; Morbidity rate; Population density; Socioeconomic status; Vulnerable populations;  Aged; Aged, 80 and over; Arabs; COVID-19; Cross-Sectional Studies; Female; Health Status Disparities; Humans; Israel; Jews; Male; Minority Groups; Morbidity; Pandemics; Population Density; Religion; Social Class",People per square kilometer of land area,Correlation analysis,Israel,Small Geographical Areas
116,290,"Tribby, C. P & Hartmann, C. (2021)",The Professional Geographer,Confirmed COVID-19 cases,North America,United States,Zip codes,145,"February 29 - May 25, 2020",Negative,built environment; COVID-19; New York City; parks; sidewalks; New York; United States; disease control; guideline; neighborhood; pedestrian; public transport,People per square mile of land area,Spatial regression,United States,Small Geographical Areas
117,292,Liu (2021),Science of the Total Environment,Confirmed COVID-19 cases,Asia,China,Prefectures,340,"December 1, 2019 - April 30, 2020",No association,Associated factors; COVID-19 incidence; Mainland China; Prefecture level; Spatial clustering; China; Hubei; Wuhan; Cell proliferation; Cold working; Factor analysis; Health risks; Temperature; Transmissions; Wind,People per square kilometer of land area,Spatial regression,China,Small Geographical Areas
118,293,"Sarmadi, et al. (2021)",Environmental Science and Pollution Research,Confirmed COVID-19 cases,Europe,United Kingdom,local authorities,406,"February 5 - November 13, 2020",Positive,COVID-19; Environmental factors; Humidity; Meteorological parameters; Temperature; Wind speed; Humans; Humidity; Meteorological Concepts; Pandemics; SARS-CoV-2; Temperature; United Kingdom; environmental conditions; parameter estimation; population density; regression analysis; source parameters,People per square kilometer of land area,OLS,United Kingdom,Small Geographical Areas
119,295,"Tieskens, et al. (2021)",BMC Infectious Diseases,Confirmed COVID-19 cases,North America,United States,Cities,351,"March 1 - October 31, 2020",Positive,"Adult; Aged; Aged, 80 and over; COVID-19; Ethnic Groups; Female; Health Status Disparities; Humans; Incidence; Income; Male; Massachusetts; Middle Aged; Movement; Occupations; Pandemics; Residence Characteristics; Risk Factors; SARS-CoV-2; Social Environment; Socioeconomic Factors; Time Factors; Transportation; Vulnerable Populations; Young Adult","People living within 5, 20, 50, and 100 km radius from town",Poisson,United States,Small Geographical Areas
120,298,He et al. (2021),Frontiers in Public Health,Confirmed COVID-19 cases,Asia,China,Districts,11,"December 31, 2019 - March 6, 2020",Positive,Guangzhou; influencing factors; interaction; logistic regression; spatiotemporal geography,People per square kilometer of land area,Logistic,China,Small Geographical Areas
